feature,importance
BB/TB_98/162,0.00023863166917352868
BB/TB_46/152,0.0002298240033071322
BB/TB_64/168,0.00021689361919216763
BB/TB_90/157,0.00020754550073466346
BB/TB_90/186,0.00020201997654540853
BB/TB_87/159,0.0001980988249447053
BB/TB_77/187,0.00019214749338282528
BB/TB_61/169,0.00018941078070692399
BB/TB_93/146,0.00017239699425056443
BB/TB_74/185,0.00017149094186051495
BB/TB_85/146,0.00016756612342208325
BB/TB_89/154,0.00016740936751275638
BB/TB_52/161,0.0001660645034040259
BB/TB_69/160,0.00016035925087427594
BB/TB_98/186,0.0001551394320769626
BB/TB_54/157,0.00015397511551865927
BB/TB_83/145,0.00015061842602654224
BB/TB_74/188,0.0001468016783780777
BB/TB_45/153,0.00014549218196347664
BB/TB_68/178,0.00013615225593414788
BB/TB_99/172,0.00013547146741922682
BB/TB_57/183,0.00013457701279304783
BB/TB_46/175,0.00013143688682345196
BB/TB_50/180,0.0001284257834589238
BB/TB_83/173,0.00012614671165114561
BB/TB_69/168,0.00012040753318925466
BB/TB_76/184,0.00011974543301161746
BB/TB_82/153,0.00011469939320475591
BB/TB_77/189,0.0001111762256236706
BB/TB_92/172,0.00010945961147300488
BB/TB_60/152,0.00010768146796238854
BB/TB_66/170,0.00010757780389267926
BB/TB_84/157,0.00010501075575111318
BB/TB_53/166,0.00010379425671779632
BB/TB_62/173,0.00010359898437407778
BB/TB_58/184,0.00010294254941602928
BB/TB_88/169,0.00010021780690907392
BB/TB_49/180,9.924439961293084e-05
BB/TB_47/176,9.55744660023167e-05
BB/TB_53/151,9.349216161136273e-05
BB/TB_90/168,9.009009009008853e-05
BB/TB_97/170,8.937327762192862e-05
BB/TB_48/149,8.580838708520685e-05
BB/TB_45/165,8.387698042870566e-05
BB/TB_52/186,8.301051466519281e-05
BB/TB_74/183,8.194772880742921e-05
BB/TB_67/182,8.171115708004751e-05
BB/TB_91/163,7.881683613825697e-05
BB/TB_58/178,7.696400369495949e-05
POLA MAKAN_4X / HARI,7.648598547208897e-05
BB/TB_58/176,7.617435463393762e-05
BB/TB_48/186,7.590495466718231e-05
BB/TB_91/171,7.560991951863613e-05
BB/TB_86/179,7.542822303215765e-05
BB/TB_59/160,7.478870533384256e-05
BB/TB_63/169,7.328960029871591e-05
BB/TB_54/177,7.091723191785745e-05
BB/TB_63/163,7.018289730521234e-05
BB/TB_60/172,6.782989203651707e-05
BB/TB_98/147,6.614254457249354e-05
BB/TB_53/185,6.603009163994307e-05
BB/TB_93/179,6.530694659066356e-05
BB/TB_47/178,6.411220081419562e-05
BB/TB_97/165,6.21360132960044e-05
BB/TB_74/175,6.095679224056735e-05
BB/TB_61/155,5.7023368107474725e-05
BB/TB_81/186,5.424605702592739e-05
BB/TB_95/147,5.4246057025927385e-05
BB/TB_45/161,5.401026194977012e-05
BB/TB_93/166,5.347791469556385e-05
BB/TB_74/182,5.3383597109832784e-05
BB/TB_89/188,5.313966279533894e-05
BB/TB_95/176,5.0602529299217256e-05
BB/TB_82/149,4.798262052653725e-05
BB/TB_98/158,4.732021552879412e-05
BB/TB_69/188,4.628864010118664e-05
BB/TB_53/162,4.420219671407249e-05
BB/TB_83/180,3.756876195113156e-05
